Run,Rand,Jaccard
1,0.5865,0.4314
2,0.5865,0.4314
3,0.5865,0.4314
4,0.5865,0.4314
5,0.5865,0.4310
6,0.5889,0.4336
7,0.5865,0.4314
8,0.5889,0.4336
9,0.5889,0.4336
10,0.5865,0.4314
11,0.5889,0.4336
12,0.5865,0.4314
13,0.5889,0.4336
14,0.5865,0.4314
15,0.5865,0.4314
16,0.5889,0.4336
17,0.5865,0.4314
18,0.5865,0.4314
19,0.5889,0.4336
20,0.5889,0.4336
21,0.5865,0.4314
22,0.5865,0.4314
23,0.5865,0.4314
24,0.5865,0.4314
25,0.5889,0.4336
26,0.5865,0.4314
27,0.5865,0.4314
28,0.5865,0.4314
29,0.5865,0.4314
30,0.5865,0.4314
31,0.5865,0.4310
32,0.5889,0.4336
33,0.5865,0.4314
34,0.5865,0.4314
35,0.5889,0.4336
36,0.5865,0.4314
37,0.5865,0.4314
38,0.5865,0.4314
39,0.5889,0.4336
40,0.5865,0.4314
41,0.5865,0.4314
42,0.5889,0.4336
43,0.5865,0.4314
44,0.5865,0.4314
45,0.5865,0.4310
46,0.5865,0.4314
47,0.5865,0.4314
48,0.5865,0.4314
49,0.5889,0.4336
50,0.5889,0.4336
51,0.5865,0.4314
52,0.5865,0.4310
53,0.5865,0.4314
54,0.5865,0.4310
55,0.5889,0.4336
56,0.5889,0.4336
57,0.5865,0.4314
58,0.5889,0.4336
59,0.5865,0.4314
60,0.5865,0.4314
61,0.5865,0.4314
62,0.5865,0.4314
63,0.5889,0.4336
64,0.5889,0.4336
65,0.5865,0.4314
66,0.5865,0.4314
67,0.5865,0.4314
68,0.5865,0.4314
69,0.5889,0.4336
70,0.5865,0.4314
71,0.5865,0.4314
72,0.5889,0.4336
73,0.5865,0.4314
74,0.5865,0.4314
75,0.5889,0.4336
76,0.5865,0.4314
77,0.5865,0.4314
78,0.5865,0.4314
79,0.5452,0.5384
80,0.5889,0.4336
81,0.5889,0.4336
82,0.5889,0.4336
83,0.5865,0.4310
84,0.5889,0.4336
85,0.5865,0.4314
86,0.5865,0.4314
87,0.5865,0.4314
88,0.5865,0.4314
89,0.5865,0.4314
90,0.5889,0.4336
91,0.5865,0.4314
92,0.5889,0.4336
93,0.5865,0.4314
94,0.5889,0.4336
95,0.5889,0.4336
96,0.5889,0.4336
97,0.5889,0.4336
98,0.5865,0.4314
99,0.5889,0.4336
100,0.5889,0.4336

Best Rand,0.5889
Best Jaccard,0.5384
